(sam-env) PS F:\SAM\sam> cd example
(sam-env) PS F:\SAM\sam\example> python train.py
100.0%
F:\SAM\sam-env\Lib\site-packages\torchvision\datasets\cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
100.0%
┏━━━━━━━━━━━━━━┳━━━━━━━╸T╺╸R╺╸A╺╸I╺╸N╺━━━━━━━┳━━━━━━━╸S╺╸T╺╸A╺╸T╺╸S╺━━━━━━━┳━━━━━━━╸V╺╸A╺╸L╺╸I╺╸D╺━━━━━━━┓
┃              ┃              ╷              ┃              ╷              ┃              ╷              ┃
┃       epoch  ┃        loss  │    accuracy  ┃        l.r.  │     elapsed  ┃        loss  │    accuracy  ┃
┠──────────────╂──────────────┼──────────────╂──────────────┼──────────────╂──────────────┼──────────────┨
┃           0  ┃      1.2922  │     36.99 %  ┃   1.000e-01  │   01:56 min  ┃      1.0061  │     51.39 %  ┃
┃           1  ┃      0.9283  │     56.51 %  ┃   1.000e-01  │   01:38 min  ┃      0.8654  │     61.55 %  ┃
┃           2  ┃      0.7372  │     66.62 %  ┃   1.000e-01  │   01:38 min  ┃      0.8423  │     63.01 %  ┃
┃           3  ┃      0.6110  │     72.84 %  ┃   1.000e-01  │   01:38 min  ┃      0.6125  │     72.77 %  ┃
┃           4  ┃      0.5304  │     76.56 %  ┃   1.000e-01  │   01:39 min  ┃      0.5384  │     76.47 %  ┃
┃           5  ┃      0.4780  │     79.25 %  ┃   1.000e-01  │   01:38 min  ┃      0.6198  │     71.92 %  ┃
┃           6  ┃      0.4436  │     80.80 %  ┃   1.000e-01  │   01:38 min  ┃      0.6120  │     72.62 %  ┃
┃           7  ┃      0.4179  │     82.16 %  ┃   1.000e-01  │   01:39 min  ┃      0.4948  │     78.88 %  ┃
┃           8  ┃      0.3925  │     83.21 %  ┃   1.000e-01  │   01:38 min  ┃      0.4057  │     82.86 %  ┃
┃           9  ┃      0.3762  │     83.94 %  ┃   1.000e-01  │   01:38 min  ┃      0.3614  │     84.60 %  ┃
┃          10  ┃      0.3546  │     85.03 %  ┃   1.000e-01  │   01:39 min  ┃      0.3774  │     83.79 %  ┃
┃          11  ┃      0.3444  │     85.60 %  ┃   1.000e-01  │   01:39 min  ┃      0.3928  │     82.83 %  ┃
┃          12  ┃      0.3394  │     85.78 %  ┃   1.000e-01  │   01:38 min  ┃      0.3653  │     84.06 %  ┃
┃          13  ┃      0.3274  │     86.36 %  ┃   1.000e-01  │   01:39 min  ┃      0.3704  │     84.47 %  ┃
┃          14  ┃      0.3176  │     86.67 %  ┃   1.000e-01  │   01:38 min  ┃      0.3399  │     85.74 %  ┃
┃          15  ┃      0.3117  │     87.09 %  ┃   1.000e-01  │   01:39 min  ┃      0.3548  │     85.30 %  ┃
┃          16  ┃      0.3035  │     87.31 %  ┃   1.000e-01  │   01:39 min  ┃      0.2841  │     88.59 %  ┃
┃          17  ┃      0.3009  │     87.53 %  ┃   1.000e-01  │   01:38 min  ┃      0.3426  │     85.28 %  ┃
┃          18  ┃      0.2885  │     88.22 %  ┃   1.000e-01  │   01:38 min  ┃      0.3062  │     87.28 %  ┃
┃          19  ┃      0.2887  │     88.10 %  ┃   1.000e-01  │   01:38 min  ┃      0.3081  │     87.01 %  ┃
┃          20  ┃      0.2849  │     88.02 %  ┃   1.000e-01  │   01:39 min  ┃      0.3506  │     85.06 %  ┃
┃          21  ┃      0.2774  │     88.54 %  ┃   1.000e-01  │   01:39 min  ┃      0.2705  │     88.95 %  ┃
┃          22  ┃      0.2709  │     88.83 %  ┃   1.000e-01  │   01:38 min  ┃      0.3109  │     86.96 %  ┃
┃          23  ┃      0.2699  │     88.93 %  ┃   1.000e-01  │   01:39 min  ┃      0.3501  │     84.81 %  ┃
┃          24  ┃      0.2676  │     89.19 %  ┃   1.000e-01  │   01:39 min  ┃      0.3779  │     83.65 %  ┃
┃          25  ┃      0.2661  │     89.07 %  ┃   1.000e-01  │   01:39 min  ┃      0.2492  │     89.42 %  ┃
┃          26  ┃      0.2624  │     89.26 %  ┃   1.000e-01  │   01:39 min  ┃      0.3437  │     85.35 %  ┃
┃          27  ┃      0.2576  │     89.53 %  ┃   1.000e-01  │   01:38 min  ┃      0.3876  │     83.48 %  ┃
┃          28  ┃      0.2587  │     89.45 %  ┃   1.000e-01  │   01:41 min  ┃      0.2722  │     88.86 %  ┃
┃          29  ┃      0.2559  │     89.60 %  ┃   1.000e-01  │   01:38 min  ┃      0.2552  │     89.76 %  ┃
┃          30  ┃      0.2506  │     89.91 %  ┃   1.000e-01  │   01:38 min  ┃      0.2545  │     89.81 %  ┃
┃          31  ┃      0.2542  │     89.64 %  ┃   1.000e-01  │   01:38 min  ┃      0.2807  │     88.20 %  ┃
┃          32  ┃      0.2466  │     90.08 %  ┃   1.000e-01  │   01:38 min  ┃      0.3249  │     86.65 %  ┃
┃          33  ┃      0.2436  │     90.06 %  ┃   1.000e-01  │   01:38 min  ┃      0.3347  │     86.23 %  ┃
┃          34  ┃      0.2477  │     89.96 %  ┃   1.000e-01  │   01:39 min  ┃      0.2951  │     87.90 %  ┃
┃          35  ┃      0.2421  │     90.17 %  ┃   1.000e-01  │   01:38 min  ┃      0.2404  │     90.38 %  ┃
┃          36  ┃      0.2447  │     90.06 %  ┃   1.000e-01  │   01:38 min  ┃      0.2471  │     89.64 %  ┃
